FID,LLGNAME,Area,Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province,x,y
,,,181001893.299861,Lower Asaro Rural LLG,PG110112,Daulo District,PG1101,Eastern Highlands Province,PG11,Papua New Guinea,PG,"146",60426.2155194,Lower Asaro Rural,Lower Asaro Rural LLG,Daulo District,Eastern Highlands,145.2675664326,-5.9971661638
,,,232755393.89109,Lower Benna LLG,PG110811,Unggai/Benna District,PG1108,Eastern Highlands Province,PG11,Papua New Guinea,PG,"138",61446.95850634,Lower Benna,Lower Benna LLG,Unggai/Benna District,Eastern Highlands,145.4755343131,-6.1578793110
,,,483968035.985948,Lower Mendi Rural LLG,PG070207,Imbonggu District,PG0702,Southern Highlands Province,PG07,Papua New Guinea,PG,"138",45347.00000006,Lower Mendi Rural,Lower Mendi Rural LLG,Imbonggu District,Southern Highlands,143.7206390294,-6.1863122599
,,,408073726.849279,Lower Wage LLG,PG210413,Komo/Magarima District,PG2104,Hela Province,PG21,Papua New Guinea,PG,"76",42180.65042844,Lower Wage,Lower Wage LLG,Komo/Magarima District,Hela,143.2867990034,-6.0832909273
,,,166144053.771038,Lumusa Rural LLG,PG090510,Mul/Baiyer District,PG0905,Western Highlands Province,PG09,Papua New Guinea,PG,"52",12737.999999868,Lumusa Rural,Lumusa Rural LLG,Mul/Baiyer District,Western Highlands,144.0394362795,-5.5597014261
,,,17846079.8038746,Madang Urban LLG,PG130205,Madang District,PG1302,Madang Province,PG13,Papua New Guinea,PG,"85",53618.00000146,Madang Urban,Madang Urban LLG,Madang District,Madang,145.7852444339,-5.2226153514
,,,1149759580.88126,Maimai Wanwan LLG,PG150217,Nuku District,PG1502,West Sepik (Sandaun) Province,PG15,Papua New Guinea,PG,"22",18653.9999999,Maimai Wanwan,Maimai Wanwan LLG,Nuku District,West Sepik (Sandaun),142.3784644942,-3.8960087276
,,,1074028784.58527,Maip Muritaka Rural LLG,PG080307,Lagaip/Pogera District,PG0803,Enga Province,PG08,Papua New Guinea,PG,"34",26450.0000012,Maip Muritaka Rural,Maip Muritaka Rural LLG,Pogera-Paiela District,Enga,143.2468561591,-5.2631552472
,,,1947415149.65357,Makamaka Rural LLG,PG050101,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,"37",20130.99999967,Makamaka Rural,Makamaka Rural LLG,Alotau District,Milne Bay Province,149.5369397821,-9.7120309892
,,,159616206.863115,Maprik/Wora Rural LLG,PG140312,Maprik District,PG1403,East Sepik Province,PG14,Papua New Guinea,PG,"39",34279.9999995,Maprik/Wora Rural,Maprik/Wora Rural LLG,Maprik District,East Sepik,143.0277886471,-3.6441710220
,,,419302748.853224,Maramatana Rural LLG,PG050104,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,"21",28199.0000004,Maramatana Rural,Maramatana Rural LLG,Alotau District,Milne Bay Province,150.4142620700,-10.2224535606
,,,546464759.897042,Maramuni Rural LLG,PG080412,Wabag District,PG0804,Enga Province,PG08,Papua New Guinea,PG,"19",7020.0000001,Maramuni Rural,Maramuni Rural LLG,Wabag District,Enga,143.4899029675,-5.2001900317
,,,3778483838.7325,Marienberg Rural LLG,PG140208,Angoram District,PG1402,East Sepik Province,PG14,Papua New Guinea,PG,"64",37329.99999876,Marienberg Rural,Marienberg Rural LLG,Angoram District,East Sepik,144.3541097700,-4.1321067680
,,,604593705.516746,Mawase Rural LLG,PG150205,Nuku District,PG1502,West Sepik (Sandaun) Province,PG15,Papua New Guinea,PG,"39",34760.00000063,Mawase Rural,Mawase Rural LLG,Nuku District,West Sepik (Sandaun),142.5348673061,-3.7552129453
,,,2825212172.28485,Mekeo Kuni Rural LLG,PG030310,Kairuku - Hiri District,PG0303,Central Province,PG03,Papua New Guinea,PG,"74",36958.000000155,Mekeo Kuni Rural,Mekeo Kuni Rural LLG,Kairuku - Hiri District,Central,146.6815134497,-8.5526106343
,,,1414866071.99258,Melkoi Rural LLG,PG180312,Pomio District,PG1803,East New Britain Province,PG18,Papua New Guinea,PG,"52",12738.99999992,Melkoi Rural,Melkoi Rural LLG,Pomio District,East New Britain,150.8302179998,-5.8901327884
,,,15155534.5796815,Mendi Urban LLG,PG070620,Mendi/Munihu District,PG0706,Southern Highlands Province,PG07,Papua New Guinea,PG,"39",40917.9999999,Mendi Urban,Mendi Urban LLG,Mendi/Munihu District,Southern Highlands,143.6580860842,-6.1411541154
,,,156579897.921091,Mimanalo Rural LLG,PG110214,Goroka District,PG1102,Eastern Highlands Province,PG11,Papua New Guinea,PG,"157",70832.73342789,Mimanalo Rural,Mimanalo Rural LLG,Goroka District,Eastern Highlands,145.3540276770,-6.0144246110
,,,235483566.348836,Mitnande Rural LLG,PG100514,Kundiawa/Gembogl District,PG1005,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"79",23536.99999993,Mitnande Rural,Mitnande Rural LLG,Kundiawa/Gembogl District,Chimbu (Simbu),145.0821650455,-5.8662956454
,,,23143791056.8042,Morehead Rural LLG,PG010313,South Fly District,PG0103,Western Province,PG01,Papua New Guinea,PG,"72",21616.999999979,Morehead Rural LLG,Morehead Rural LLG,South Fly District,Western,141.6996663356,-8.5218147960
,,,1694671521.80849,Morobe Rural LLG,PG120309,Huon District,PG1203,Morobe Province,PG12,Papua New Guinea,PG,"40",26858.00000017,Morobe Rural,Morobe Rural LLG,Huon District,Morobe,147.4551216265,-7.7380927289
,,,1740531030.55008,Mosa Rural LLG,PG190210,Talasea District,PG1902,West New Britain Province,PG19,Papua New Guinea,PG,"33",58233.99999764,Mosa Rural,Mosa Rural LLG,Nakanai District,West New Britain,150.3474473544,-5.7680985543
,,,3941742356.66878,Mt Bosavi Rural LLG,PG070723,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,Papua New Guinea,PG,"54",6161.999999988,Mt Bosavi Rural,Mt Bosavi Rural LLG,Nipa/Kutubu District,Southern Highlands,142.9334063978,-6.5777623601
,,,68971302.8113537,Mt Digine Rural LLG,PG100206,Gumine District,PG1002,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"43",23117.00000098,Mt Digine Rural,Mt Digine Rural LLG,Gumine District,Chimbu (Simbu),144.9167204853,-6.0737242092
,,,791964169.903043,Mt Giluwe Rural LLG,PG090712,Tambul/Nebilyer District,PG0907,Western Highlands Province,PG09,Papua New Guinea,PG,"134",53555.999999917,Mt Giluwe Rural,Mt Giluwe Rural LLG,Tambul/Nebilyer District,Western Highlands,143.9751186563,-5.8967672136
,,,301904292.124305,Mt Hagen Rural LLG,PG090304,Mt Hagen District,PG0903,Western Highlands Province,PG09,Papua New Guinea,PG,"298",134202.00000245,Mt Hagen Rural,Mt Hagen Rural LLG,Mt Hagen District,Western Highlands,144.2384572296,-5.8382358683
,,,9723569.05558996,Mt Hagen Urban LLG,PG090305,Mt Hagen District,PG0903,Western Highlands Province,PG09,Papua New Guinea,PG,"70",47063.9999976,Mt Hagen Urban,Mt Hagen Urban LLG,Mt Hagen District,Western Highlands,144.2315718212,-5.8550511641
,,,498309086.759125,Mt. Michael Rural LLG,PG110520,Lufa District,PG1105,Eastern Highlands Province,PG11,Papua New Guinea,PG,"86",21660.22555934,Mt. Michael Rural,Mt. Michael Rural LLG,Lufa District,Eastern Highlands,145.3021455422,-6.4065125489
,,,296977495.791057,Mul Rural LLG,PG090508,Mul/Baiyer District,PG0905,Western Highlands Province,PG09,Papua New Guinea,PG,"78",54596.99999903,Mul Rural,Mul Rural LLG,Mul/Baiyer District,Western Highlands,144.1589202985,-5.7267067495
,,,1311770997.39729,Mumeng Rural LLG,PG120101,Bulolo District,PG1201,Morobe Province,PG12,Papua New Guinea,PG,"54",32964.00000091,Mumeng Rural,Mumeng Rural LLG,Bulolo District,Morobe,146.5554224991,-6.9349719063
,,,390330670.289096,Murat Rural LLG,PG170101,Kavieng District,PG1701,New Ireland Province,PG17,Papua New Guinea,PG,"37",4367.999999931,Murat Rural,Murat Rural LLG,Kavieng District,New Ireland,149.6489419948,-1.4561918466
,,,939060253.643589,Murua Rural LLG,PG050211,Samarai-Murua District,PG0502,Milne Bay Province,PG05,Papua New Guinea,PG,"26",45878.9999991,Murua Rural,Murua Rural LLG,Samarai-Murua District,Milne Bay Province,152.7285526152,-9.1118471436
,,,748742176.226958,Nabak Rural LLG,PG120824,Nawae District,PG1208,Morobe Province,PG12,Papua New Guinea,PG,"39",21652.999999,Nabak Rural,Nabak Rural LLG,Nawae District,Morobe,146.9913861705,-6.4553364363
,,,1170238697.26361,Naho Rawa Rural LLG,PG130411,Rai Coast District,PG1304,Madang Province,PG13,Papua New Guinea,PG,"41",17082.00000074,Naho Rawa Rural,Naho Rawa Rural LLG,Rai Coast District,Madang,146.0585397387,-5.8853672039
,,,162700527.92452,Nali Sopat/Penabu LLG,PG160108,Manus District,PG1601,Manus Province,PG16,Papua New Guinea,PG,"18",6349.99999995,Nali Sopat/Penabu,Nali Sopat/Penabu LLG,Manus District,Manus,147.1823178378,-2.1384636785
,,,1252303346.84757,Namatanai Rural LLG,PG170205,Namatanai District,PG1702,New Ireland Province,PG17,Papua New Guinea,PG,"85",34241.70256131,Namatanai Rural,Namatanai Rural LLG,Namatanai District,New Ireland,152.6118505964,-3.8555224852
,,,2337484763.53052,Namea Rural LLG,PG150308,Telefomin District,PG1503,West Sepik (Sandaun) Province,PG15,Papua New Guinea,PG,"32",20330.0000008,Namea Rural,Namea Rural LLG,Telefomin District,West Sepik (Sandaun),141.9866401270,-3.8820456368
,,,536070159.396808,Nanima Kariba LLG,PG120734,Menyamya District,PG1207,Morobe Province,PG12,Papua New Guinea,PG,"45",35017.1354065,Nanima Kariba,Nanima Kariba LLG,Menyamya District,Morobe,146.1621023677,-7.4083228435
,,,657534126.924674,Nayudo Rural LLG,PG130418,Rai Coast District,PG1304,Madang Province,PG13,Papua New Guinea,PG,"29",19097.40060145,Nayudo Rural,Nayudo Rural LLG,Rai Coast District,Madang,146.5174102207,-5.8872680521
,,,1000355108.81621,Nebilyer Rural LLG,PG090713,Tambul/Nebilyer District,PG0907,Western Highlands Province,PG09,Papua New Guinea,PG,"69",51196.99999933,Nebilyer Rural,Nebilyer Rural LLG,Tambul/Nebilyer District,Western Highlands,144.2897799032,-6.0638684605
,,,139742130.752229,Nembi Plateau Rural LLG,PG070724,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,Papua New Guinea,PG,"21",95221,Nembi Plateau Rural,Nembi Plateau Rural LLG,Nipa/Kutubu District,Southern Highlands,143.4827306667,-6.2730963397
,,,94025302.1522262,Niglkande Rural LLG,PG100515,Kundiawa/Gembogl District,PG1005,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"58",26319.000000091,Niglkande Rural,Niglkande Rural LLG,Kundiawa/Gembogl District,Chimbu (Simbu),145.0519092115,-5.9505069849
,,,32795747.4655229,Nigoherm LLG,PG160102,Manus District,PG1601,Manus Province,PG16,Papua New Guinea,PG,"9",5378.99999964,Nigoherm,Nigoherm LLG,Manus District,Manus,144.5982808906,-1.3222020772
,,,218816132.662782,Nimamar Rural LLG,PG170209,Namatanai District,PG1702,New Ireland Province,PG17,Papua New Guinea,PG,"50",30687.99999989,Nimamar Rural,Nimamar Rural LLG,Namatanai District,New Ireland,152.6017247851,-3.1016565977
,,,2355322804.55561,Ningerum Rural LLG,PG010208,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,"85",26058.0000005,Ningerum Rural LLG,Ningerum Rural LLG,North Fly District,Western,141.2041308377,-5.6306007065
,,,486934072.412657,Nipa Rural LLG,PG070725,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,Papua New Guinea,PG,"243",117302.00000087,Nipa Rural,Nipa Rural LLG,Nipa/Kutubu District,Southern Highlands,143.3408381996,-6.1961377561
,,,37144509.7521342,Nissan LLG,PG200105,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,Papua New Guinea,PG,"30",8425.999999972,Nissan,Nissan LLG,North Bougainville District,Bougainville,154.1956465738,-4.4892632650
,,,21352376482.7526,Nomad Rural LLG,PG010105,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,"82",23076.00000046,Nomad Rural LLG,Nomad Rural LLG,Middle Fly District,Western,142.1834563528,-6.8884993214
,,,269850490.143708,Nomane Rural LLG,PG100308,Karimui/Nomane District,PG1003,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"46",9442.999999955,Nomane Rural,Nomane Rural LLG,Karimui/Nomane District,Chimbu (Simbu),145.0720676870,-6.3619900682
,,,153386826.602924,Nondugl Rural LLG,PG220615,North Waghi District,PG2206,Jiwaka Province,PG22,Papua New Guinea,PG,"101",48865.94069715,Nondugl Rural,Nondugl Rural LLG,North Waghi District,Jiwaka,144.7656616398,-5.8496934114
,,,1850757341.70451,North Koroba Rural LLG,PG210516,Koroba/Kopiago District,PG2105,Hela Province,PG21,Papua New Guinea,PG,"85",40223.99999991,North Koroba Rural,North Koroba Rural LLG,Koroba/Kopiago District,Hela,142.4686586206,-5.6520041428
,,,316938345.892129,North Waghi Rural LLG,PG220611,North Waghi District,PG2206,Jiwaka Province,PG22,Papua New Guinea,PG,"171",89238.0593023849,North Waghi Rural,North Waghi Rural LLG,North Waghi District,Jiwaka,144.6235743117,-5.7667768710
,,,438957161.389137,North Wosera Rural LLG,PG140521,Wosera Gawi District,PG1405,East Sepik Province,PG14,Papua New Guinea,PG,"37",27276.99999914,North Wosera Rural,North Wosera Rural LLG,Wosera Gawi District,East Sepik,142.8237453762,-3.8428978923
,,,254420464.93157,Numbor Rural LLG,PG140624,Yangoru Saussia District,PG1406,East Sepik Province,PG14,Papua New Guinea,PG,"48",17111.999999781,Numbor Rural,Numbor Rural LLG,Yangoru Saussia District,East Sepik,143.4683906367,-3.6791319412
,,,3496738691.66522,Oksapmin Rural LLG,PG150309,Telefomin District,PG1503,West Sepik (Sandaun) Province,PG15,Papua New Guinea,PG,"25",31631.00000018,Oksapmin Rural,Oksapmin Rural LLG,Telefomin District,West Sepik (Sandaun),142.1197576338,-4.9966036912
,,,3639061946.39834,Olsobip Rural LLG,PG010209,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,"34",6719.99999986,Olsobip Rural LLG,Olsobip Rural LLG,North Fly District,Western,141.7517521792,-5.4647649485
,,,1709323618.80467,Onga/Waffa Rural LLG,PG120617,Markham District,PG1206,Morobe Province,PG12,Papua New Guinea,PG,"41",15970.99999921,Onga/Waffa Rural,Onga/Waffa Rural LLG,Markham District,Morobe,146.1788985710,-6.6195255319
,,,6284671630.20998,Oriomo-Bituri Rural LLG,PG010314,South Fly District,PG0103,Western Province,PG01,Papua New Guinea,PG,"66",15888.000000076,Oriomo-Bituri Rural LLG,Oriomo-Bituri Rural LLG,South Fly District,Western,142.8580911158,-8.8562048612
,,,1602044753.48994,Oro Bay Rural LLG,PG060101,Ijivitari District,PG0601,Northern (Oro) Province,PG06,Papua New Guinea,PG,"128",41507.00000128,Oro Bay Rural,Oro Bay Rural LLG,Popondentta District,Northern (Oro),148.3254841645,-8.6927470990
,,,1945259686.89933,Paiela/Hewa Rural LLG,PG080308,Lagaip/Pogera District,PG0803,Enga Province,PG08,Papua New Guinea,PG,"26",13698.9999999,Paiela/Hewa Rural,Paiela/Hewa Rural LLG,Pogera-Paiela District,Enga,142.8915344876,-5.3487372735
,,,1010823020.33977,Palmai Rural LLG,PG150206,Nuku District,PG1502,West Sepik (Sandaun) Province,PG15,Papua New Guinea,PG,"53",23183.99999958,Palmai Rural,Palmai Rural LLG,Nuku District,West Sepik (Sandaun),142.4459839198,-3.5283938791
,,,575060712.281022,Pilikambi Rural LLG,PG080315,Lagaip/Pogera District,PG0803,Enga Province,PG08,Papua New Guinea,PG,"49",31417.66838278,Pilikambi Rural,Pilikambi Rural LLG,Laigap District,Enga,143.5971372572,-5.6275338424
,,,558853948.058891,Pobuma LLG,PG160110,Manus District,PG1601,Manus Province,PG16,Papua New Guinea,PG,"19",8101.99999971,Pobuma,Pobuma LLG,Manus District,Manus,146.8134465077,-2.1416092417
,,,459558982.271604,Pomutu/Kurti/Andra LLG,PG160104,Manus District,PG1601,Manus Province,PG16,Papua New Guinea,PG,"19",8204.999999885,Pomutu/Kurti/Andra,Pomutu/Kurti/Andra LLG,Manus District,Manus,146.9101138595,-2.0195065964
,,,443849372.19365,Popondetta Urban LLG,PG060104,Ijivitari District,PG0601,Northern (Oro) Province,PG06,Papua New Guinea,PG,"92",42362.9999997,Popondetta Urban,Popondetta Urban LLG,Popondentta District,Northern (Oro),148.2559315719,-8.8187346986
,,,536995887.862863,Porgera Rural LLG,PG080309,Lagaip/Pogera District,PG0803,Enga Province,PG08,Papua New Guinea,PG,"42",81120.9999997,Porgera Rural,Porgera Rural LLG,Pogera-Paiela District,Enga,143.1240390639,-5.4118454337
,,,309045124.556536,Poroma Rural LLG,PG070726,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,Papua New Guinea,PG,"246",94347.99999949,Poroma Rural,Poroma Rural LLG,Nipa/Kutubu District,Southern Highlands,143.5906818149,-6.3371403086
,,,11813227.6548014,Rabaul Urban LLG,PG180417,Rabaul District,PG1804,East New Britain Province,PG18,Papua New Guinea,PG,"31",4960.000000022,Rabaul Urban,Rabaul Urban LLG,Rabaul District,East New Britain,152.1798687434,-4.2029964800
,,,2177762583.21618,Rai Coast Rural LLG,PG130412,Rai Coast District,PG1304,Madang Province,PG13,Papua New Guinea,PG,"157",40048.59939895,Rai Coast Rural,Rai Coast Rural LLG,Rai Coast District,Madang,146.4449212017,-5.6373492760
,,,40271683.6991633,Raluana Rural LLG,PG180209,Kokopo District,PG1802,East New Britain Province,PG18,Papua New Guinea,PG,"21",23654.9999977,Raluana Rural,Raluana Rural LLG,Kokopo District,East New Britain,152.1914743417,-4.3240924093
,,,131291547.022492,Rapatona LLG,PG160112,Manus District,PG1601,Manus Province,PG16,Papua New Guinea,PG,"18",4086.00000011,Rapatona,Rapatona LLG,Manus District,Manus,147.7927252681,-2.2516891090
,,,1252153266.99436,Rigo Central Rural LLG,PG030411,Rigo District,PG0304,Central Province,PG03,Papua New Guinea,PG,"62",22401.99999991,Rigo Central Rural,Rigo Central Rural LLG,Rigo District,Central,147.6422752096,-9.6945082176
,,,518628504.355739,Rigo Coastal Rural LLG,PG030412,Rigo District,PG0304,Central Province,PG03,Papua New Guinea,PG,"30",26178.00000014,Rigo Coastal Rural,Rigo Coastal Rural LLG,Rigo District,Central,147.6804688366,-9.9411573162
,,,3243682441.58786,Rigo Inland Rural LLG,PG030413,Rigo District,PG0304,Central Province,PG03,Papua New Guinea,PG,"138",24142.000000041,Rigo Inland Rural,Rigo Inland Rural LLG,Rigo District,Central,147.9387509010,-9.6655734353
,,,5519079875.05053,Safia Rural LLG,PG060109,Ijivitari District,PG0601,Northern (Oro) Province,PG06,Papua New Guinea,PG,"56",9812.08604993,Safia Rural,Safia Rural LLG,Ijivitari District,Northern (Oro),148.6662877994,-9.5374673526
,,,1254328489.88675,Salamaua Rural LLG,PG120310,Huon District,PG1203,Morobe Province,PG12,Papua New Guinea,PG,"55",17756.00000024,Salamaua Rural,Salamaua Rural LLG,Huon District,Morobe,146.9771504263,-7.1858245802
,,,209860824.100606,Salt Rural LLG,PG100309,Karimui/Nomane District,PG1003,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"56",19569.99999994,Salt Rural,Salt Rural LLG,Karimui/Nomane District,Chimbu (Simbu),144.9786285420,-6.2770466151
,,,1338078296.27925,Sausso Rural LLG,PG140625,Yangoru Saussia District,PG1406,East Sepik Province,PG14,Papua New Guinea,PG,"41",15733.99999977,Sausso Rural,Sausso Rural LLG,Yangoru Saussia District,East Sepik,143.5856924927,-3.8740541734
,,,442990112.644499,Selau/Suir LLG,PG200103,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,Papua New Guinea,PG,"42",30930.99999781,Selau/Suir,Selau/Suir LLG,North Bougainville District,Bougainville,154.8339087174,-5.5742592985
,,,306399077.002307,Selepet Rural LLG,PG120435,Kabwum District,PG1204,Morobe Province,PG12,Papua New Guinea,PG,"27",15909.9999999,Selepet Rural,Selepet Rural LLG,Kabwum District,Morobe,147.1565762646,-6.2394773833
,,,1817723268.28619,Sentral Niu Ailan Rural LLG,PG170206,Namatanai District,PG1702,New Ireland Province,PG17,Papua New Guinea,PG,"109",37894.99999918,Sentral Niu Ailan Rural,Sentral Niu Ailan Rural LLG,Namatanai District,New Ireland,151.8852068632,-3.2049924080
,,,876446509.975435,Sialum Rural LLG,PG120926,Tawae/Siassi District,PG1209,Morobe Province,PG12,Papua New Guinea,PG,"63",24595.0000003,Sialum Rural,Sialum Rural LLG,Tawae/Siassi District,Morobe,147.5619651923,-6.1719096355
